"hosts.ID","inf.by","inf.time","out.time","active","p_max","t_incub"
"H-145","H-37",26,NA,1,0.532335540649167,3.7402188742202
"H-146","H-39",26,NA,1,0.778907102904481,5.13783844942888
"H-147","H-41",26,NA,1,0.523467094039872,5.86178306637517
"H-148","H-43",26,NA,1,0.826434148208269,3.3671411460229
"H-149","H-6",26,NA,1,0.882096744690614,5.05256700740428
"H-15","H-4",15,NA,1,0.820974409972655,4.85040255297842
"H-150","H-8",26,NA,1,0.641173016498602,5.97267523021582
"H-151","H-1",27,NA,1,0.776431417632992,6.71410317169872
"H-152","H-11",27,NA,1,0.787751565734157,5.93936483251549
"H-153","H-12",27,NA,1,0.570166050749106,4.65555414132845
"H-154","H-14",27,NA,1,0.605711965939813,5.82649520444413
"H-155","H-15",27,NA,1,0.811231096794927,4.38812494871103
"H-156","H-16",27,NA,1,0.769608523005996,5.36797148757595
"H-157","H-17",27,NA,1,0.731564950728955,5.17139521762104
"H-158","H-19",27,30,0,0.46294955763588,6.79505336166552
"H-159","H-20",27,NA,1,0.763922866060766,6.20613195727702
"H-16","H-3",16,NA,1,0.649296746616259,3.38803364986557
"H-160","H-22",27,29,0,0.89642121369672,4.61751664667862
"H-161","H-23",27,NA,1,0.751778710225771,3.61971711939412
"H-162","H-24",27,NA,1,0.688850417878228,2.51453033864139
"H-163","H-26",27,NA,1,0.865119993690429,5.35232033814848
"H-164","H-27",27,NA,1,0.391126330470265,4.53099223000295
"H-165","H-28",27,NA,1,0.689023373236337,4.87513529360919
"H-166","H-29",27,28,0,0.748014154915573,5.05976654978336
"H-167","H-3",27,NA,1,0.490688228763711,5.92281820406704
"H-168","H-30",27,NA,1,0.473703467519749,6.29488785243108
"H-169","H-31",27,31,0,0.410186232224585,5.38568042278874
"H-17","H-4",16,NA,1,0.838091209695288,4.37875122720398
"H-170","H-33",27,NA,1,0.803117793424569,3.83636925509987
"H-171","H-34",27,NA,1,0.814021676444223,5.42841026262225
"H-172","H-35",27,NA,1,0.726687422879031,4.35994934921766
"H-173","H-36",27,NA,1,0.484598695543807,5.75576018803429
"H-174","H-37",27,NA,1,0.943379995697877,6.06873122654587
"H-175","H-38",27,NA,1,0.48443709853536,3.9947732948942
"H-176","H-39",27,NA,1,0.974477880089186,6.51170263198284
"H-177","H-4",27,NA,1,0.893847480256515,5.75894263024984
"H-178","H-41",27,NA,1,0.674070155310992,6.9904935478891
"H-179","H-42",27,NA,1,0.839738481652199,4.66460164372196
